mun,nome_mun,meso,nome_meso,micro,nome_micro,popul,area,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,gp_edu,gp_agro,gp_total,percent_5,percent_6_17,percent_65,percent_18_64_desemp,dens_pop,razao_dep,percent_ate_15,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_emp_form,rm_form,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo,leite,ovos,mel,banana_q,cafe_q,cana_q,feijao_q,milho_q,soja_q,banana_v,cafe_v,cana_v,feijao_v,milho_v,soja_v,banana_a,cafe_a,cana_a,feijao_a,milho_a,soja_a,banana_p,cafe_p,cana_p,feijao_p,milho_p,soja_p
3100104,Abadia dos Dourados,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,7037,881.1,685,413,366,22.26,Não,Sim,2,64.7,63.0,0.8,0.9,16.8,72.5,4,769.58,24.0,2689.36,8,21,9,1.89,7.91,46.09,26.63,6.55,2741,540.7,58.4,1589.51,4.55,0.0,0.0,15.32,0.0,0.0,43745,128,0,90,144,457,2,8016,11286,95,994,41,3,4008,12076,10,120,11,5,1220,2850,9000,1200,41545,400,6570,3960
3100203,Abaeté,3106,Central Mineira,31024,Três Marias,23574,1817.1,2259,812,796,42.99,Não,Sim,1,65.4,44.0,2.3,2.2,33.1,65.8,7,425.89,7.05,1744.35,7,21,9,1.45,12.88,43.33,26.04,4.17,4077,258.94,25.8,1581.85,6.32,16.97,16.33,14.01,0.0,0.0,50383,218,1550,50,180,9500,0,6259,1740,90,1242,760,0,3362,1827,10,60,190,0,1485,385,5000,3000,50000,0,4215,4519
3100302,Abre Campo,3112,Zona da Mata,31061,Manhuaçu,13726,470.6,1896,1412,1254,29.26,Não,Sim,1,73.7,50.2,1.5,1.4,11.9,71.3,4,414.67,11.46,2158.73,8,20,9,3.07,28.9,45.23,26.3,14.75,1586,152.43,18.7,1385.94,7.07,36.43,85.07,4.26,0.0,100.0,7100,103,1074,80,4200,9000,294,1200,0,74,28392,1080,897,900,0,15,3500,300,480,400,0,5333,1200,30000,613,3000,0
3100401,Acaiaca,3112,Zona da Mata,31060,Ponte Nova,4061,101.9,796,674,615,11.53,Não,Sim,1,81.0,79.3,3.4,3.6,42.6,100.0,1,830.0,13.91,3092.76,8,21,10,4.92,39.35,47.15,26.47,29.39,418,132.16,17.4,1416.11,5.17,0.0,0.0,6.06,0.0,0.0,1385,23,2500,60,4,1400,29,276,0,88,26,168,89,179,0,8,4,45,50,92,0,7500,1000,31111,580,3000,0
3100500,Açucena,3108,Vale do Rio Doce,31039,Ipatinga,10066,815.4,1691,1074,952,24.26,Não,Sim,1,80.6,50.6,0.8,0.8,9.0,75.0,19,502.54,0.0,1971.64,8,21,9,1.62,12.19,45.38,26.28,15.22,445,59.31,8.5,1359.75,7.45,49.67,38.7,9.4,0.0,0.0,9061,57,266,180,5,3000,112,825,0,206,33,375,239,484,0,30,7,100,152,250,0,6000,714,30000,737,3300,0
3100609,Água Boa,3108,Vale do Rio Doce,31036,Peçanha,14524,1320.3,2839,2512,2214,15.65,Não,Sim,1,92.3,59.5,1.9,2.1,21.3,96.1,11,484.89,71.49,1950.21,8,21,9,5.1,10.76,46.33,26.92,28.55,923,78.99,10.5,1379.77,4.13,0.0,0.0,1.6,0.0,0.0,16820,147,2000,800,2040,6200,425,2997,0,1040,12240,1240,1074,1798,0,100,1700,170,661,1110,0,8000,1200,36471,643,2700,0
3100708,Água Comprida,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,2061,491.0,248,177,117,8.77,Não,Sim,1,73.2,42.8,4.4,3.8,22.1,77.7,3,1069.4,93.85,7914.63,7,20,11,1.45,4.14,45.06,23.91,12.82,432,414.43,50.5,1756.18,8.25,0.0,0.0,11.06,0.0,100.0,2642,12,0,120,0,1339400,0,22800,36540,150,0,90276,0,10678,41108,10,0,18100,0,4500,10500,12000,0,74000,0,5067,3480
3100807,Aguanil,3109,Oeste de Minas,31045,Campo Belo,4406,232.1,580,315,275,11.08,Não,Sim,1,66.8,40.8,0.6,0.4,47.4,62.6,1,859.74,38.63,3187.76,8,21,10,3.72,18.9,46.56,26.28,9.87,719,227.32,24.6,1572.91,7.49,0.0,0.0,8.76,0.0,0.0,7008,87,0,130,1890,2320,240,6420,1080,234,13419,174,747,3507,1296,12,900,58,150,1000,300,10833,2100,40000,1600,6420,3600
3100906,Águas Formosas,3104,Vale do Mucuri,31016,Nanuque,19363,820.1,3865,2996,2743,45.68,Não,Sim,1,86.0,54.0,2.2,2.3,29.1,73.2,7,427.52,10.16,2123.15,8,21,9,4.48,23.5,46.38,27.12,28.02,1974,156.74,13.6,1595.28,7.9,10.33,0.0,4.7,0.0,0.0,8972,26,0,40,0,950,20,62,0,72,0,95,65,52,0,5,0,30,23,45,0,8000,0,31667,870,1632,0
3101003,Águas Vermelhas,3102,Norte de Minas,31005,Salinas,13513,1258.8,2884,2430,2152,19.84,Não,Sim,1,90.4,50.9,2.8,2.7,21.6,78.9,7,377.45,6.85,1927.51,8,20,9,5.66,10.68,45.0,26.25,31.55,1051,98.39,13.4,1375.39,4.88,7.4,0.0,0.95,53.0,0.0,379,49,600,1130,2100,70,137,279,0,1356,14490,8,350,237,0,70,700,2,330,400,0,16143,3000,35000,507,900,0
