mun,nome_mun,uf,nome_uf,rm,meso,nome_meso,micro,nome_micro,cod_rgi,nome_rgi,cod_rgint,nome_rgint,codmun6,regiao,nome_regiao,area,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3100104,Abadia dos Dourados,31,Minas Gerais,,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,310061,Monte Carmelo,3111,Uberlândia,310010,3,Sudeste,881.1,0,0,47,0,30,460,18,0,0,0,8028,11685,1212,0,100,0,43745,128,0
3100203,Abaeté,31,Minas Gerais,,3106,Central Mineira,31024,Três Marias,310070,Abaeté,3113,Divinópolis,310020,3,Sudeste,1817.1,0,0,28,0,0,9000,0,0,0,15,4680,1404,0,0,0,0,50383,218,1550
3100302,Abre Campo,31,Minas Gerais,,3112,Zona da Mata,31061,Manhuaçu,310028,Manhuaçu,3106,Juíz de Fora,310030,3,Sudeste,470.6,0,0,50,0,3140,9000,170,0,0,0,780,0,0,0,0,0,7100,103,1074
3100401,Acaiaca,31,Minas Gerais,,3112,Zona da Mata,31060,Ponte Nova,310030,Ponte Nova,3106,Juíz de Fora,310040,3,Sudeste,101.9,0,0,56,0,3,1340,33,7,0,0,202,0,0,0,0,0,1385,23,2500
3100500,Açucena,31,Minas Gerais,RM Vale do Aço,3108,Vale do Rio Doce,31039,Ipatinga,310024,Ipatinga,3105,Ipatinga,310050,3,Sudeste,815.4,0,0,170,0,10,3000,74,0,0,0,942,0,0,0,0,0,9061,57,266
3100609,Água Boa,31,Minas Gerais,,3108,Vale do Rio Doce,31036,Peçanha,310014,Capelinha,3103,Teófilo Otoni,310060,3,Sudeste,1320.3,0,0,427,0,1740,6174,431,69,5,0,2912,0,0,8,1324,0,16820,147,2000
3100708,Água Comprida,31,Minas Gerais,,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,310055,Uberaba,3110,Uberaba,310070,3,Sudeste,491.0,0,0,0,0,0,1190000,0,0,0,0,24600,27540,25800,0,0,0,2642,12,0
3100807,Aguanil,31,Minas Gerais,,3109,Oeste de Minas,31045,Campo Belo,310048,Campo Belo,3108,Varginha,310080,3,Sudeste,232.1,0,0,132,0,1801,10920,141,240,0,15,13500,0,0,50,100,0,7008,87,0
3100906,Águas Formosas,31,Minas Gerais,,3104,Vale do Mucuri,31016,Nanuque,310019,Águas Formosas,3103,Teófilo Otoni,310090,3,Sudeste,820.1,0,0,27,0,0,1080,12,0,0,0,21,0,0,0,0,0,8972,26,0
3101003,Águas Vermelhas,31,Minas Gerais,,3102,Norte de Minas,31005,Salinas,310018,Pedra Azul,3103,Teófilo Otoni,310100,3,Sudeste,1258.8,0,0,1131,0,1200,75,140,6,0,0,206,0,0,5,0,0,379,49,600
3101102,Aimorés,31,Minas Gerais,,3108,Vale do Rio Doce,31041,Aimorés,310023,Aimorés - Resplendor,3104,Governador Valadares,310110,3,Sudeste,1348.8,0,0,500,0,963,2080,305,325,150,336,4050,0,0,84,3510,0,22265,92,2850
3101201,Aiuruoca,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31055,Andrelândia,310054,Caxambu - Baependi,3109,Pouso Alegre,310120,3,Sudeste,649.7,0,0,0,0,15,2400,268,0,0,0,5848,416,0,0,0,0,27169,39,6400
3101300,Alagoa,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31054,São Lourenço,310053,São Lourenço,3109,Pouso Alegre,310130,3,Sudeste,161.4,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,10386,14,1940
3101409,Albertina,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,310050,Pouso Alegre,3109,Pouso Alegre,310140,3,Sudeste,58.0,0,0,0,0,2556,0,0,0,0,0,91,0,0,0,0,0,280,4,0
3101508,Além Paraíba,31,Minas Gerais,,3112,Zona da Mata,31066,Cataguases,310036,Além Paraíba,3106,Juíz de Fora,310150,3,Sudeste,510.4,0,0,100,0,0,30,36,0,0,0,288,0,0,0,0,0,7663,80,4005
3101607,Alfenas,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31049,Alfenas,310042,Alfenas,3108,Varginha,310160,3,Sudeste,850.4,0,0,2680,7500,14566,114400,5470,600,360,0,55800,16854,0,300,1750,0,15010,88,210
3101631,Alfredo Vasconcelos,31,Minas Gerais,,3111,Campo das Vertentes,31059,Barbacena,310037,Barbacena,3107,Barbacena,310163,3,Sudeste,130.8,0,0,0,28,0,0,48,0,0,26,540,0,0,0,1530,0,3200,6,1275
3101706,Almenara,31,Minas Gerais,,3103,Jequitinhonha,31014,Almenara,310015,Almenara,3103,Teófilo Otoni,310170,3,Sudeste,2294.4,0,0,160,0,440,3600,137,8,0,9,336,0,0,0,0,0,6209,48,580
3101805,Alpercata,31,Minas Gerais,,3108,Vale do Rio Doce,31037,Governador Valadares,310020,Governador Valadares,3104,Governador Valadares,310180,3,Sudeste,167.0,0,0,15,0,0,936,1,30,0,0,2390,0,0,0,60,0,4515,4,0
3101904,Alpinópolis,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31047,Passos,310041,Passos,3108,Varginha,310190,3,Sudeste,454.8,0,0,0,0,7710,144000,610,0,0,0,13000,8428,1060,0,60,0,44480,44,12380
3102001,Alterosa,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31049,Alfenas,310042,Alfenas,3108,Varginha,310200,3,Sudeste,362.0,0,0,0,0,6867,27525,530,1836,0,0,15180,2400,0,0,0,0,7900,82,12300
