ibge7,mun,nome_meso,abacaxi,alho,amendoim,azeitona,batata_inglesa,cafe_arab,cana,ervilha,feijao,girassol,laranja,marmelo,sorgo,tomate
3100104,Abadia dos Dourados,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,30,460,0,18,0,0,0,1212,100
3100203,Abaeté,Central Mineira,540,0,0,0,0,0,9000,0,0,0,0,0,0,0
3100302,Abre Campo,Zona da Mata,0,0,0,0,0,3140,9000,0,170,0,0,0,0,0
3100401,Acaiaca,Zona da Mata,0,0,2,0,0,3,1340,0,33,0,7,0,0,0
3100500,Açucena,Vale do Rio Doce,0,3,6,0,0,10,3000,0,74,0,0,0,0,0
3100609,Água Boa,Vale do Rio Doce,0,0,4,0,0,1740,6174,0,431,0,69,0,0,1324
3100708,Água Comprida,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,1190000,0,0,0,0,0,25800,0
3100807,Aguanil,Oeste de Minas,0,0,0,0,0,1801,10920,0,141,0,240,0,0,100
3100906,Águas Formosas,Vale do Mucuri,0,0,0,0,0,0,1080,0,12,0,0,0,0,0
3101003,Águas Vermelhas,Norte de Minas,0,0,0,0,0,1200,75,0,140,0,6,0,0,0
3101102,Aimorés,Vale do Rio Doce,0,0,0,0,0,963,2080,0,305,0,325,0,0,3510
3101201,Aiuruoca,Sul/Sudoeste de Minas,0,0,0,13,0,15,2400,0,268,0,0,0,0,0
3101300,Alagoa,Sul/Sudoeste de Minas,0,0,0,4,0,0,0,0,4,0,0,0,0,0
3101409,Albertina,Sul/Sudoeste de Minas,0,0,0,0,0,2556,0,0,0,0,0,0,0,0
3101508,Além Paraíba,Zona da Mata,0,0,0,0,0,0,30,0,36,0,0,0,0,0
3101607,Alfenas,Sul/Sudoeste de Minas,0,24,0,0,7500,14566,114400,0,5470,0,600,0,0,1750
3101631,Alfredo Vasconcelos,Campo das Vertentes,0,0,0,0,28,0,0,10,48,0,0,0,0,1530
3101706,Almenara,Jequitinhonha,0,0,0,0,0,440,3600,0,137,0,8,0,0,0
3101805,Alpercata,Vale do Rio Doce,0,0,0,0,0,0,936,0,1,0,30,0,0,60
3101904,Alpinópolis,Sul/Sudoeste de Minas,0,0,0,0,0,7710,144000,0,610,0,0,0,1060,60
3102001,Alterosa,Sul/Sudoeste de Minas,0,0,0,0,0,6867,27525,0,530,0,1836,0,0,0
3102050,Alto Caparaó,Zona da Mata,0,0,0,0,0,3880,30,0,15,0,0,0,0,0
3102100,Alto Rio Doce,Zona da Mata,0,0,0,0,0,0,15000,0,330,0,0,0,0,0
3102209,Alvarenga,Vale do Rio Doce,0,0,0,0,0,520,420,0,29,0,26,0,0,0
3102308,Alvinópolis,Metropolitana de Belo Horizonte,0,0,2,0,0,3,5680,0,96,0,0,0,0,0
3102407,Alvorada de Minas,Metropolitana de Belo Horizonte,0,0,0,0,0,5,420,0,10,0,0,0,0,0
3102506,Amparo do Serra,Zona da Mata,0,0,0,0,0,196,3920,0,84,0,0,0,0,280
3102605,Andradas,Sul/Sudoeste de Minas,0,0,0,3,2530,9950,1020,0,10,0,0,0,0,2500
3102704,Cachoeira de Pajeú,Jequitinhonha,15,0,1,0,0,5,2400,0,94,0,14,0,0,0
3102803,Andrelândia,Sul/Sudoeste de Minas,0,0,0,0,0,420,4670,0,1628,0,2390,0,0,0
3102852,Angelândia,Jequitinhonha,0,0,12,0,0,2812,800,0,123,0,30,0,0,50
3102902,Antônio Carlos,Campo das Vertentes,0,0,0,25,200,0,200,0,136,0,13,0,0,1296
3103009,Antônio Dias,Vale do Rio Doce,0,0,2,0,0,1,630,0,9,0,0,0,0,40
3103108,Antônio Prado de Minas,Zona da Mata,0,0,0,0,0,70,385,0,5,0,0,0,0,0
3103207,Araçaí,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3103306,Aracitaba,Zona da Mata,0,0,0,0,0,0,2160,0,55,0,0,0,0,0
3103405,Araçuaí,Jequitinhonha,60,3,11,0,0,3,7560,0,135,0,120,0,0,80
3103504,Araguari,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,3325,27550,2160,0,90,890,0,0,12600,72000
3103603,Arantina,Sul/Sudoeste de Minas,0,0,0,0,0,0,1750,0,2,0,0,0,0,0
3103702,Araponga,Zona da Mata,0,0,0,0,0,7500,2688,0,372,0,0,0,0,0
3103751,Araporã,Triângulo Mineiro/Alto Paranaíba,140,0,0,0,0,0,758000,0,47,0,0,0,1763,0
3103801,Arapuá,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,997,0,0,0,0,0,0,0,300
3103900,Araújos,Central Mineira,0,0,0,0,0,0,4000,0,12,0,0,0,0,0
3104007,Araxá,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,2500,4480,208000,0,2940,0,0,0,5548,0
3104106,Arceburgo,Sul/Sudoeste de Minas,0,0,0,0,0,1120,50400,0,213,0,2040,0,0,0
3104205,Arcos,Oeste de Minas,0,0,0,0,0,0,116922,0,189,0,0,0,1000,420
3104304,Areado,Sul/Sudoeste de Minas,0,0,0,0,0,4486,231896,0,170,0,0,0,0,0
3104403,Argirita,Zona da Mata,0,0,0,0,0,0,0,0,11,0,0,0,0,0
3104452,Aricanduva,Jequitinhonha,35,7,27,0,0,376,1680,0,105,0,0,0,0,0
3104502,Arinos,Noroeste de Minas,15,0,0,0,0,0,13300,0,6600,0,0,0,893,0
3104601,Astolfo Dutra,Zona da Mata,0,0,0,0,0,24,837,0,11,0,3,0,0,90
3104700,Ataléia,Vale do Mucuri,0,0,1,0,0,54,900,0,58,0,36,0,0,0
3104809,Augusto de Lima,Central Mineira,0,0,0,0,0,0,17500,0,123,0,20,0,164,0
3104908,Baependi,Sul/Sudoeste de Minas,0,0,0,7,0,1427,0,0,15,0,10,0,0,0
3105004,Baldim,Metropolitana de Belo Horizonte,0,0,0,0,0,0,2844,0,74,0,12,0,6,1800
3105103,Bambuí,Oeste de Minas,105,0,0,0,0,4200,784000,0,2452,0,207,0,945,54
3105202,Bandeira,Jequitinhonha,0,0,0,0,0,72,576,0,216,0,0,0,0,0
3105301,Bandeira do Sul,Sul/Sudoeste de Minas,0,0,0,0,0,543,0,0,16,0,0,0,0,0
